,Mean BLEU Score,SD BLEU Score,Mean BLEU Unigram Score,SD BLEU Unigram Score,Mean ROUGE-1,SD ROUGE-1,Mean ROUGE-2,SD ROUGE-2,Mean ROUGE-l,SD ROUGE-l,Mean Meteor Score,SD Meteor Score,Mean BERTScore,SD BERTScore,Object Accuracy
layer_0,0.054,0.071,0.253,0.13,0.297,0.135,0.076,0.108,0.266,0.128,0.257,0.15,0.891,0.025,0.531
layer_14,0.042,0.067,0.215,0.13,0.271,0.136,0.055,0.1,0.243,0.128,0.212,0.129,0.888,0.024,0.52
layer_21,0.052,0.069,0.259,0.133,0.305,0.137,0.073,0.107,0.27,0.129,0.251,0.145,0.891,0.025,0.52
layer_4,0.023,0.024,0.135,0.088,0.159,0.096,0.02,0.047,0.134,0.085,0.177,0.097,0.866,0.022,0.52
layer_7,0.035,0.039,0.196,0.111,0.231,0.118,0.044,0.075,0.205,0.111,0.209,0.112,0.882,0.022,0.52
